date	Community-based family support	Baby and Child Institutions	Child Protection	Foster Care
1/01/2014	5	48	14	33
10/01/2014	5	48	14	33
19/01/2014	5	48	14	33
28/01/2014	5	48	14	33
6/02/2014	5	48	14	33
15/02/2014	5	48	14	33
24/02/2014	5	48	14	33
5/03/2014	5	48	14	33
14/03/2014	5	48	14	33
23/03/2014	5	48	14	33
1/04/2014	5	48	14	33
10/04/2014	5	48	14	33
19/04/2014	5	48	14	33
28/04/2014	5	48	14	33
7/05/2014	5	48	14	33
16/05/2014	5	48	14	33
25/05/2014	5	48	14	33
3/06/2014	5	48	14	33
12/06/2014	5	48	14	33
21/06/2014	5	48	14	33
30/06/2014	5	48	14	33
9/07/2014	5	48	14	33
18/07/2014	5	48	14	33
27/07/2014	5	48	14	33
5/08/2014	5	48	14	33
14/08/2014	5	48	14	33
23/08/2014	5	48	14	33
1/09/2014	5	48	14	33
10/09/2014	5	48	14	33
19/09/2014	5	48	14	33
28/09/2014	5	48	14	33
7/10/2014	5	48	14	33
16/10/2014	5	48	14	33
25/10/2014	5	48	14	33
3/11/2014	5	48	14	33
12/11/2014	5	48	14	33
21/11/2014	5	48	14	33
30/11/2014	5	48	14	33
9/12/2014	5	48	14	33
18/12/2014	5	48	14	33
27/12/2014	5	48	14	33
5/01/2015	5	48	14	33
14/01/2015	5.16254417	47.91519435	13.98586572	32.93639576
23/01/2015	5.325088339	47.83038869	13.97173145	32.87279152
1/02/2015	5.487632509	47.74558304	13.95759717	32.80918728
10/02/2015	5.650176678	47.66077739	13.9434629	32.74558304
19/02/2015	5.812720848	47.57597173	13.92932862	32.6819788
28/02/2015	5.975265018	47.49116608	13.91519435	32.61837456
9/03/2015	6.137809187	47.40636042	13.90106007	32.55477032
18/03/2015	6.300353357	47.32155477	13.8869258	32.49116608
27/03/2015	6.462897527	47.23674912	13.87279152	32.42756184
5/04/2015	6.625441696	47.15194346	13.85865724	32.3639576
14/04/2015	6.787985866	47.06713781	13.84452297	32.30035336
23/04/2015	6.950530035	46.98233216	13.83038869	32.23674912
2/05/2015	7.113074205	46.8975265	13.81625442	32.17314488
11/05/2015	7.275618375	46.81272085	13.80212014	32.10954064
20/05/2015	7.438162544	46.72791519	13.78798587	32.0459364
29/05/2015	7.600706714	46.64310954	13.77385159	31.98233216
7/06/2015	7.763250883	46.55830389	13.75971731	31.91872792
16/06/2015	7.925795053	46.47349823	13.74558304	31.85512367
25/06/2015	8.088339223	46.38869258	13.73144876	31.79151943
4/07/2015	8.250883392	46.30388693	13.71731449	31.72791519
13/07/2015	8.413427562	46.21908127	13.70318021	31.66431095
22/07/2015	8.575971731	46.13427562	13.68904594	31.60070671
31/07/2015	8.738515901	46.04946996	13.67491166	31.53710247
9/08/2015	8.901060071	45.96466431	13.66077739	31.47349823
18/08/2015	9.06360424	45.87985866	13.64664311	31.40989399
27/08/2015	9.22614841	45.795053	13.63250883	31.34628975
5/09/2015	9.38869258	45.71024735	13.61837456	31.28268551
14/09/2015	9.551236749	45.6254417	13.60424028	31.21908127
23/09/2015	9.713780919	45.54063604	13.59010601	31.15547703
2/10/2015	9.876325088	45.45583039	13.57597173	31.09187279
11/10/2015	10.03886926	45.37102473	13.56183746	31.02826855
20/10/2015	10.20141343	45.28621908	13.54770318	30.96466431
29/10/2015	10.3639576	45.20141343	13.5335689	30.90106007
7/11/2015	10.52650177	45.11660777	13.51943463	30.83745583
16/11/2015	10.68904594	45.03180212	13.50530035	30.77385159
25/11/2015	10.85159011	44.94699647	13.49116608	30.71024735
4/12/2015	11.01413428	44.86219081	13.4770318	30.64664311
13/12/2015	11.17667845	44.77738516	13.46289753	30.58303887
22/12/2015	11.33922261	44.69257951	13.44876325	30.51943463
31/12/2015	11.50176678	44.60777385	13.43462898	30.45583039
9/01/2016	11.66431095	44.5229682	13.4204947	30.39222615
18/01/2016	11.82685512	44.43816254	13.40636042	30.32862191
27/01/2016	11.98939929	44.35335689	13.39222615	30.26501767
5/02/2016	12.15194346	44.26855124	13.37809187	30.20141343
14/02/2016	12.31448763	44.18374558	13.3639576	30.13780919
23/02/2016	12.4770318	44.09893993	13.34982332	30.07420495
3/03/2016	12.63957597	44.01413428	13.33568905	30.01060071
12/03/2016	12.80212014	43.92932862	13.32155477	29.94699647
21/03/2016	12.96466431	43.84452297	13.30742049	29.88339223
30/03/2016	13.12720848	43.75971731	13.29328622	29.81978799
8/04/2016	13.28975265	43.67491166	13.27915194	29.75618375
17/04/2016	13.45229682	43.59010601	13.26501767	29.69257951
26/04/2016	13.61484099	43.50530035	13.25088339	29.62897527
5/05/2016	13.77738516	43.4204947	13.23674912	29.56537102
14/05/2016	13.93992933	43.33568905	13.22261484	29.50176678
23/05/2016	14.1024735	43.25088339	13.20848057	29.43816254
1/06/2016	14.26501767	43.16607774	13.19434629	29.3745583
10/06/2016	14.42756184	43.08127208	13.18021201	29.31095406
19/06/2016	14.59010601	42.99646643	13.16607774	29.24734982
28/06/2016	14.75265018	42.91166078	13.15194346	29.18374558
7/07/2016	14.91519435	42.82685512	13.13780919	29.12014134
16/07/2016	15.07773852	42.74204947	13.12367491	29.0565371
25/07/2016	15.24028269	42.65724382	13.10954064	28.99293286
3/08/2016	15.40282686	42.57243816	13.09540636	28.92932862
12/08/2016	15.56537102	42.48763251	13.08127208	28.86572438
21/08/2016	15.72791519	42.40282686	13.06713781	28.80212014
30/08/2016	15.89045936	42.3180212	13.05300353	28.7385159
8/09/2016	16.05300353	42.23321555	13.03886926	28.67491166
17/09/2016	16.2155477	42.14840989	13.02473498	28.61130742
26/09/2016	16.37809187	42.06360424	13.01060071	28.54770318
5/10/2016	16.54063604	41.97879859	12.99646643	28.48409894
14/10/2016	16.70318021	41.89399293	12.98233216	28.4204947
23/10/2016	16.86572438	41.80918728	12.96819788	28.35689046
1/11/2016	17.02826855	41.72438163	12.9540636	28.29328622
10/11/2016	17.19081272	41.63957597	12.93992933	28.22968198
19/11/2016	17.35335689	41.55477032	12.92579505	28.16607774
28/11/2016	17.51590106	41.46996466	12.91166078	28.1024735
7/12/2016	17.67844523	41.38515901	12.8975265	28.03886926
16/12/2016	17.8409894	41.30035336	12.88339223	27.97526502
25/12/2016	18.00353357	41.2155477	12.86925795	27.91166078
3/01/2017	18.16607774	41.13074205	12.85512367	27.84805654
12/01/2017	18.32862191	41.0459364	12.8409894	27.7844523
21/01/2017	18.49116608	40.96113074	12.82685512	27.72084806
30/01/2017	18.65371025	40.87632509	12.81272085	27.65724382
8/02/2017	18.81625442	40.79151943	12.79858657	27.59363958
17/02/2017	18.97879859	40.70671378	12.7844523	27.53003534
26/02/2017	19.14134276	40.62190813	12.77031802	27.4664311
7/03/2017	19.30388693	40.53710247	12.75618375	27.40282686
16/03/2017	19.4664311	40.45229682	12.74204947	27.33922261
25/03/2017	19.62897527	40.36749117	12.72791519	27.27561837
3/04/2017	19.79151943	40.28268551	12.71378092	27.21201413
12/04/2017	19.9540636	40.19787986	12.69964664	27.14840989
21/04/2017	20.11660777	40.1130742	12.68551237	27.08480565
30/04/2017	20.27915194	40.02826855	12.67137809	27.02120141
9/05/2017	20.44169611	39.9434629	12.65724382	26.95759717
18/05/2017	20.60424028	39.85865724	12.64310954	26.89399293
27/05/2017	20.76678445	39.77385159	12.62897527	26.83038869
5/06/2017	20.92932862	39.68904594	12.61484099	26.76678445
14/06/2017	21.09187279	39.60424028	12.60070671	26.70318021
23/06/2017	21.25441696	39.51943463	12.58657244	26.63957597
2/07/2017	21.41696113	39.43462898	12.57243816	26.57597173
11/07/2017	21.5795053	39.34982332	12.55830389	26.51236749
20/07/2017	21.74204947	39.26501767	12.54416961	26.44876325
29/07/2017	21.90459364	39.18021201	12.53003534	26.38515901
7/08/2017	22.06713781	39.09540636	12.51590106	26.32155477
16/08/2017	22.22968198	39.01060071	12.50176678	26.25795053
25/08/2017	22.39222615	38.92579505	12.48763251	26.19434629
3/09/2017	22.55477032	38.8409894	12.47349823	26.13074205
12/09/2017	22.71731449	38.75618375	12.45936396	26.06713781
21/09/2017	22.87985866	38.67137809	12.44522968	26.00353357
30/09/2017	23.04240283	38.58657244	12.43109541	25.93992933
9/10/2017	23.204947	38.50176678	12.41696113	25.87632509
18/10/2017	23.36749117	38.41696113	12.40282686	25.81272085
27/10/2017	23.53003534	38.33215548	12.38869258	25.74911661
5/11/2017	23.69257951	38.24734982	12.3745583	25.68551237
14/11/2017	23.85512367	38.16254417	12.36042403	25.62190813
23/11/2017	24.01766784	38.07773852	12.34628975	25.55830389
2/12/2017	24.18021201	37.99293286	12.33215548	25.49469965
11/12/2017	24.34275618	37.90812721	12.3180212	25.43109541
20/12/2017	24.50530035	37.82332155	12.30388693	25.36749117
29/12/2017	24.66784452	37.7385159	12.28975265	25.30388693
7/01/2018	24.83038869	37.65371025	12.27561837	25.24028269
16/01/2018	24.99293286	37.56890459	12.2614841	25.17667845
25/01/2018	25.15547703	37.48409894	12.24734982	25.1130742
3/02/2018	25.3180212	37.39929329	12.23321555	25.04946996
12/02/2018	25.48056537	37.31448763	12.21908127	24.98586572
21/02/2018	25.64310954	37.22968198	12.204947	24.92226148
2/03/2018	25.80565371	37.14487633	12.19081272	24.85865724
11/03/2018	25.96819788	37.06007067	12.17667845	24.795053
20/03/2018	26.13074205	36.97526502	12.16254417	24.73144876
29/03/2018	26.29328622	36.89045936	12.14840989	24.66784452
7/04/2018	26.45583039	36.80565371	12.13427562	24.60424028
16/04/2018	26.61837456	36.72084806	12.12014134	24.54063604
25/04/2018	26.78091873	36.6360424	12.10600707	24.4770318
4/05/2018	26.9434629	36.55123675	12.09187279	24.41342756
13/05/2018	27.10600707	36.4664311	12.07773852	24.34982332
22/05/2018	27.26855124	36.38162544	12.06360424	24.28621908
31/05/2018	27.43109541	36.29681979	12.04946996	24.22261484
9/06/2018	27.59363958	36.21201413	12.03533569	24.1590106
18/06/2018	27.75618375	36.12720848	12.02120141	24.09540636
27/06/2018	27.91872792	36.04240283	12.00706714	24.03180212
6/07/2018	28.08127208	35.95759717	11.99293286	23.96819788
15/07/2018	28.24381625	35.87279152	11.97879859	23.90459364
24/07/2018	28.40636042	35.78798587	11.96466431	23.8409894
2/08/2018	28.56890459	35.70318021	11.95053004	23.77738516
11/08/2018	28.73144876	35.61837456	11.93639576	23.71378092
20/08/2018	28.89399293	35.5335689	11.92226148	23.65017668
29/08/2018	29.0565371	35.44876325	11.90812721	23.58657244
7/09/2018	29.21908127	35.3639576	11.89399293	23.5229682
16/09/2018	29.38162544	35.27915194	11.87985866	23.45936396
25/09/2018	29.54416961	35.19434629	11.86572438	23.39575972
4/10/2018	29.70671378	35.10954064	11.85159011	23.33215548
13/10/2018	29.86925795	35.02473498	11.83745583	23.26855124
22/10/2018	30.03180212	34.93992933	11.82332155	23.204947
31/10/2018	30.19434629	34.85512367	11.80918728	23.14134276
9/11/2018	30.35689046	34.77031802	11.795053	23.07773852
18/11/2018	30.51943463	34.68551237	11.78091873	23.01413428
27/11/2018	30.6819788	34.60070671	11.76678445	22.95053004
6/12/2018	30.84452297	34.51590106	11.75265018	22.8869258
15/12/2018	31.00706714	34.43109541	11.7385159	22.82332155
24/12/2018	31.16961131	34.34628975	11.72438163	22.75971731
2/01/2019	31.33215548	34.2614841	11.71024735	22.69611307
11/01/2019	31.49469965	34.17667845	11.69611307	22.63250883
20/01/2019	31.65724382	34.09187279	11.6819788	22.56890459
29/01/2019	31.81978799	34.00706714	11.66784452	22.50530035
7/02/2019	31.98233216	33.92226148	11.65371025	22.44169611
16/02/2019	32.14487633	33.83745583	11.63957597	22.37809187
25/02/2019	32.30742049	33.75265018	11.6254417	22.31448763
6/03/2019	32.46996466	33.66784452	11.61130742	22.25088339
15/03/2019	32.63250883	33.58303887	11.59717314	22.18727915
24/03/2019	32.795053	33.49823322	11.58303887	22.12367491
2/04/2019	32.95759717	33.41342756	11.56890459	22.06007067
11/04/2019	33.12014134	33.32862191	11.55477032	21.99646643
20/04/2019	33.28268551	33.24381625	11.54063604	21.93286219
29/04/2019	33.44522968	33.1590106	11.52650177	21.86925795
8/05/2019	33.60777385	33.07420495	11.51236749	21.80565371
17/05/2019	33.77031802	32.98939929	11.49823322	21.74204947
26/05/2019	33.93286219	32.90459364	11.48409894	21.67844523
4/06/2019	34.09540636	32.81978799	11.46996466	21.61484099
13/06/2019	34.25795053	32.73498233	11.45583039	21.55123675
22/06/2019	34.4204947	32.65017668	11.44169611	21.48763251
1/07/2019	34.58303887	32.56537102	11.42756184	21.42402827
10/07/2019	34.74558304	32.48056537	11.41342756	21.36042403
19/07/2019	34.90812721	32.39575972	11.39929329	21.29681979
28/07/2019	35.07067138	32.31095406	11.38515901	21.23321555
6/08/2019	35.23321555	32.22614841	11.37102473	21.16961131
15/08/2019	35.39575972	32.14134276	11.35689046	21.10600707
24/08/2019	35.55830389	32.0565371	11.34275618	21.04240283
2/09/2019	35.72084806	31.97173145	11.32862191	20.97879859
11/09/2019	35.88339223	31.8869258	11.31448763	20.91519435
20/09/2019	36.0459364	31.80212014	11.30035336	20.85159011
29/09/2019	36.20848057	31.71731449	11.28621908	20.78798587
8/10/2019	36.37102473	31.63250883	11.27208481	20.72438163
17/10/2019	36.5335689	31.54770318	11.25795053	20.66077739
26/10/2019	36.69611307	31.46289753	11.24381625	20.59717314
4/11/2019	36.85865724	31.37809187	11.22968198	20.5335689
13/11/2019	37.02120141	31.29328622	11.2155477	20.46996466
22/11/2019	37.18374558	31.20848057	11.20141343	20.40636042
1/12/2019	37.34628975	31.12367491	11.18727915	20.34275618
10/12/2019	37.50883392	31.03886926	11.17314488	20.27915194
19/12/2019	37.67137809	30.9540636	11.1590106	20.2155477
28/12/2019	37.83392226	30.86925795	11.14487633	20.15194346
6/01/2020	37.99646643	30.7844523	11.13074205	20.08833922
15/01/2020	38.1590106	30.69964664	11.11660777	20.02473498
24/01/2020	38.32155477	30.61484099	11.1024735	19.96113074
2/02/2020	38.48409894	30.53003534	11.08833922	19.8975265
11/02/2020	38.64664311	30.44522968	11.07420495	19.83392226
20/02/2020	38.80918728	30.36042403	11.06007067	19.77031802
29/02/2020	38.97173145	30.27561837	11.0459364	19.70671378
9/03/2020	39.13427562	30.19081272	11.03180212	19.64310954
18/03/2020	39.29681979	30.10600707	11.01766784	19.5795053
27/03/2020	39.45936396	30.02120141	11.00353357	19.51590106
5/04/2020	39.62190813	29.93639576	10.98939929	19.45229682
14/04/2020	39.7844523	29.85159011	10.97526502	19.38869258
23/04/2020	39.94699647	29.76678445	10.96113074	19.32508834
2/05/2020	40.10954064	29.6819788	10.94699647	19.2614841
11/05/2020	40.27208481	29.59717314	10.93286219	19.19787986
20/05/2020	40.43462898	29.51236749	10.91872792	19.13427562
29/05/2020	40.59717314	29.42756184	10.90459364	19.07067138
7/06/2020	40.75971731	29.34275618	10.89045936	19.00706714
16/06/2020	40.92226148	29.25795053	10.87632509	18.9434629
25/06/2020	41.08480565	29.17314488	10.86219081	18.87985866
4/07/2020	41.24734982	29.08833922	10.84805654	18.81625442
13/07/2020	41.40989399	29.00353357	10.83392226	18.75265018
22/07/2020	41.57243816	28.91872792	10.81978799	18.68904594
31/07/2020	41.73498233	28.83392226	10.80565371	18.6254417
9/08/2020	41.8975265	28.74911661	10.79151943	18.56183746
18/08/2020	42.06007067	28.66431095	10.77738516	18.49823322
27/08/2020	42.22261484	28.5795053	10.76325088	18.43462898
5/09/2020	42.38515901	28.49469965	10.74911661	18.37102473
14/09/2020	42.54770318	28.40989399	10.73498233	18.30742049
23/09/2020	42.71024735	28.32508834	10.72084806	18.24381625
2/10/2020	42.87279152	28.24028269	10.70671378	18.18021201
11/10/2020	43.03533569	28.15547703	10.69257951	18.11660777
20/10/2020	43.19787986	28.07067138	10.67844523	18.05300353
29/10/2020	43.36042403	27.98586572	10.66431095	17.98939929
7/11/2020	43.5229682	27.90106007	10.65017668	17.92579505
16/11/2020	43.68551237	27.81625442	10.6360424	17.86219081
25/11/2020	43.84805654	27.73144876	10.62190813	17.79858657
4/12/2020	44.01060071	27.64664311	10.60777385	17.73498233
13/12/2020	44.17314488	27.56183746	10.59363958	17.67137809
22/12/2020	44.33568905	27.4770318	10.5795053	17.60777385
31/12/2020	44.49823322	27.39222615	10.56537102	17.54416961
9/01/2021	44.66077739	27.30742049	10.55123675	17.48056537
18/01/2021	44.82332155	27.22261484	10.53710247	17.41696113
27/01/2021	44.98586572	27.13780919	10.5229682	17.35335689
5/02/2021	45.14840989	27.05300353	10.50883392	17.28975265
14/02/2021	45.31095406	26.96819788	10.49469965	17.22614841
23/02/2021	45.47349823	26.88339223	10.48056537	17.16254417
4/03/2021	45.6360424	26.79858657	10.4664311	17.09893993
13/03/2021	45.79858657	26.71378092	10.45229682	17.03533569
22/03/2021	45.96113074	26.62897527	10.43816254	16.97173145
31/03/2021	46.12367491	26.54416961	10.42402827	16.90812721
9/04/2021	46.28621908	26.45936396	10.40989399	16.84452297
18/04/2021	46.44876325	26.3745583	10.39575972	16.78091873
27/04/2021	46.61130742	26.28975265	10.38162544	16.71731449
6/05/2021	46.77385159	26.204947	10.36749117	16.65371025
15/05/2021	46.93639576	26.12014134	10.35335689	16.59010601
24/05/2021	47.09893993	26.03533569	10.33922261	16.52650177
2/06/2021	47.2614841	25.95053004	10.32508834	16.46289753
11/06/2021	47.42402827	25.86572438	10.31095406	16.39929329
20/06/2021	47.58657244	25.78091873	10.29681979	16.33568905
29/06/2021	47.74911661	25.69611307	10.28268551	16.27208481
8/07/2021	47.91166078	25.61130742	10.26855124	16.20848057
17/07/2021	48.07420495	25.52650177	10.25441696	16.14487633
26/07/2021	48.23674912	25.44169611	10.24028269	16.08127208
4/08/2021	48.39929329	25.35689046	10.22614841	16.01766784
13/08/2021	48.56183746	25.27208481	10.21201413	15.9540636
22/08/2021	48.72438163	25.18727915	10.19787986	15.89045936
31/08/2021	48.8869258	25.1024735	10.18374558	15.82685512
9/09/2021	49.04946996	25.01766784	10.16961131	15.76325088
18/09/2021	49.21201413	24.93286219	10.15547703	15.69964664
27/09/2021	49.3745583	24.84805654	10.14134276	15.6360424
6/10/2021	49.53710247	24.76325088	10.12720848	15.57243816
15/10/2021	49.69964664	24.67844523	10.1130742	15.50883392
24/10/2021	49.86219081	24.59363958	10.09893993	15.44522968
2/11/2021	50.02473498	24.50883392	10.08480565	15.38162544
11/11/2021	50.18727915	24.42402827	10.07067138	15.3180212
20/11/2021	50.34982332	24.33922261	10.0565371	15.25441696
29/11/2021	50.51236749	24.25441696	10.04240283	15.19081272
8/12/2021	50.67491166	24.16961131	10.02826855	15.12720848
17/12/2021	50.83745583	24.08480565	10.01413428	15.06360424
26/12/2021	51	24	10	15
4/01/2022	51	24	10	15
13/01/2022	51	24	10	15
22/01/2022	51	24	10	15
31/01/2022	51	24	10	15
9/02/2022	51	24	10	15
18/02/2022	51	24	10	15
27/02/2022	51	24	10	15
8/03/2022	51	24	10	15
17/03/2022	51	24	10	15
26/03/2022	51	24	10	15
4/04/2022	51	24	10	15
13/04/2022	51	24	10	15
22/04/2022	51	24	10	15
1/05/2022	51	24	10	15
10/05/2022	51	24	10	15
19/05/2022	51	24	10	15
28/05/2022	51	24	10	15
6/06/2022	51	24	10	15
15/06/2022	51	24	10	15
24/06/2022	51	24	10	15
3/07/2022	51	24	10	15
12/07/2022	51	24	10	15
21/07/2022	51	24	10	15
30/07/2022	51	24	10	15
8/08/2022	51	24	10	15
17/08/2022	51	24	10	15
26/08/2022	51	24	10	15
4/09/2022	51	24	10	15
13/09/2022	51	24	10	15
22/09/2022	51	24	10	15
1/10/2022	51	24	10	15
10/10/2022	51	24	10	15
19/10/2022	51	24	10	15
28/10/2022	51	24	10	15
6/11/2022	51	24	10	15
15/11/2022	51	24	10	15
24/11/2022	51	24	10	15
3/12/2022	51	24	10	15
12/12/2022	51	24	10	15
21/12/2022	51	24	10	15
